  ,COMMESSA,ORE
  ,"          IMBA  "" IMBALLAGGIO""",9.23
  ,"          NEST  "" TAGLIO / NESTING""",5.05
  ,"          PIEG  "" PIEGATURA""",10.75
  ,"          PROD  "" PRODUZIONE""",0.32
  ,"          PROG  "" PROGETTAZIONE""",4.01
  ,"     25/220  ""MBB ASCENSORI SRL""",3.7
  ,"          IMBA  "" IMBALLAGGIO""",1.21
  ,"          NEST  "" TAGLIO / NESTING""",0.55
  ,"          PIEG  "" PIEGATURA""",1.94
  ,"     25/221  ""TRR SOLUTIONS SRL""",18.05
  ,"          IMBA  "" IMBALLAGGIO""",2.55
  ,"          NEST  "" TAGLIO / NESTING""",1.35
  ,"          PIEG  "" PIEGATURA""",1.18
  ,"          PROG  "" PROGETTAZIONE""",1.25
  ,"          SALD  "" SALDATURA""",11.72
  ,"     25/223  ""AMMAR SRL""",39.0
  ,"          IMBA  "" IMBALLAGGIO""",8.71
  ,"          NEST  "" TAGLIO / NESTING""",9.04
  ,"          PIEG  "" PIEGATURA""",10.68
  ,"          PROG  "" PROGETTAZIONE""",6.86
  ,"          SALD  "" SALDATURA""",3.71
  ,"     25/224  ""CENTER LIFT SRL""",32.98
  ,"          IMBA  "" IMBALLAGGIO""",2.43
  ,"          NEST  "" TAGLIO / NESTING""",7.34
  ,"          PIEG  "" PIEGATURA""",9.4
  ,"          PROG  "" PROGETTAZIONE""",4.65
  ,"          SALD  "" SALDATURA""",9.16
  ,"     25/225  ""ARE SRL""",30.37
  ,"          IMBA  "" IMBALLAGGIO""",7.44
  ,"          NEST  "" TAGLIO / NESTING""",4.92
  ,"          PIEG  "" PIEGATURA""",12.06
  ,"          PROG  "" PROGETTAZIONE""",2.03
  ,"          SALD  "" SALDATURA""",3.92
  ,"     25/226  ""ARE SRL""",34.82
  ,"          IMBA  "" IMBALLAGGIO""",9.12
  ,"          NEST  "" TAGLIO / NESTING""",5.25
  ,"          PIEG  "" PIEGATURA""",13.47
  ,"          PROG  "" PROGETTAZIONE""",6.3
  ,"          SALD  "" SALDATURA""",0.68
  ,"     25/227  ""ARE SRL""",57.96
  ,"          IMBA  "" IMBALLAGGIO""",9.47
  ,"          NEST  "" TAGLIO / NESTING""",4.75
  ,"          PIEG  "" PIEGATURA""",9.12
  ,"          PROG  "" PROGETTAZIONE""",32.06
  ,"          SALD  "" SALDATURA""",2.56
  ,"     25/228  ""MAM SRL""",94.29
  ,"          IMBA  "" IMBALLAGGIO""",21.2
  ,"          NEST  "" TAGLIO / NESTING""",29.45
  ,"          PIEG  "" PIEGATURA""",28.67
  ,"          PROG  "" PROGETTAZIONE""",9.21
  ,"          SALD  "" SALDATURA""",5.76
  ,"     25/229  ""VIMA ASCENSORI SRL""",15.08
  ,"          IMBA  "" IMBALLAGGIO""",1.88
  ,"          NEST  "" TAGLIO / NESTING""",1.8
  ,"          PIEG  "" PIEGATURA""",6.9
  ,"          PROG  "" PROGETTAZIONE""",2.97
  ,"          SALD  "" SALDATURA""",1.53
  ,"     25/230  ""LUX IMPIANTI""",40.11
  ,"          IMBA  "" IMBALLAGGIO""",10.73
  ,"          NEST  "" TAGLIO / NESTING""",6.2
  ,"          PIEG  "" PIEGATURA""",13.25
  ,"          PROG  "" PROGETTAZIONE""",5.41
  ,"          SALD  "" SALDATURA""",4.52
  ,"     25/231  ""BULGHERINI PU""",60.51
  ,"          IMBA  "" IMBALLAGGIO""",11.36
  ,"          NEST  "" TAGLIO / NESTING""",6.0
  ,"          PIEG  "" PIEGATURA""",20.26
  ,"          PROD  "" PRODUZIONE""",0.57
  ,"          PROG  "" PROGETTAZIONE""",11.89
  ,"          SALD  "" SALDATURA""",10.43
  ,"     25/232  ""BULGHERINI PU""",37.41
  ,"          IMBA  "" IMBALLAGGIO""",6.66
  ,"          NEST  "" TAGLIO / NESTING""",5.2
  ,"          PIEG  "" PIEGATURA""",16.79
  ,"          PROG  "" PROGETTAZIONE""",6.08
  ,"          SALD  "" SALDATURA""",2.68
  ,"     25/233  ""AMMAR SRL""",37.61
  ,"          IMBA  "" IMBALLAGGIO""",10.69
  ,"          NEST  "" TAGLIO / NESTING""",7.24
  ,"          PIEG  "" PIEGATURA""",7.44
  ,"          PROG  "" PROGETTAZIONE""",5.98
  ,"          SALD  "" SALDATURA""",6.26
  ,"     25/234  ""SCHINDLER SPA""",3.48
  ,"          IMBA  "" IMBALLAGGIO""",1.44
  ,"          NEST  "" TAGLIO / NESTING""",0.61
  ,"          PIEG  "" PIEGATURA""",1.43
  ,"     25/235  ""VITALI ASCENSORI SRL""",36.03
  ,"          IMBA  "" IMBALLAGGIO""",5.98
  ,"          NEST  "" TAGLIO / NESTING""",2.91
  ,"          PIEG  "" PIEGATURA""",8.18
  ,"          PROG  "" PROGETTAZIONE""",11.82
  ,"          SALD  "" SALDATURA""",7.14
  ,"     25/237  ""ARE SRL""",42.84
  ,"          IMBA  "" IMBALLAGGIO""",7.72
  ,"          NEST  "" TAGLIO / NESTING""",8.33
  ,"          PIEG  "" PIEGATURA""",16.28
  ,"          PROG  "" PROGETTAZIONE""",5.65
  ,"          SALD  "" SALDATURA""",4.86
  ,"     25/238  ""ARE SRL""",27.97
  ,"          IMBA  "" IMBALLAGGIO""",3.42
  ,"          NEST  "" TAGLIO / NESTING""",3.68
  ,"          PIEG  "" PIEGATURA""",12.44
  ,"          PROG  "" PROGETTAZIONE""",5.3
  ,"          SALD  "" SALDATURA""",3.13
  ,"     25/239  ""ARE SRL""",43.07
  ,"          IMBA  "" IMBALLAGGIO""",10.6
  ,"          NEST  "" TAGLIO / NESTING""",4.02
  ,"          PIEG  "" PIEGATURA""",15.51
  ,"          PROG  "" PROGETTAZIONE""",8.89
  ,"          SALD  "" SALDATURA""",4.05
  ,"     25/241  ""ARE SRL""",82.72
  ,"          IMBA  "" IMBALLAGGIO""",8.53
  ,"          NEST  "" TAGLIO / NESTING""",7.48
  ,"          PIEG  "" PIEGATURA""",13.97
  ,"          PROG  "" PROGETTAZIONE""",49.31
  ,"          SALD  "" SALDATURA""",3.43
  ,"     25/242  ""CORAL""",25.23
  ,"          IMBA  "" IMBALLAGGIO""",0.36
  ,"          PROG  "" PROGETTAZIONE""",5.31
  ,"          SALD  "" SALDATURA""",19.56
  ,"     25/243  ""E4 SRL""",41.25
  ,"          IMBA  "" IMBALLAGGIO""",21.71
  ,"          NEST  "" TAGLIO / NESTING""",5.06
  ,"          PIEG  "" PIEGATURA""",7.04
  ,"          PROG  "" PROGETTAZIONE""",1.86
  ,"          SALD  "" SALDATURA""",5.58
  ,"     25/244  ""ARE SRL""",53.48
  ,"          IMBA  "" IMBALLAGGIO""",17.8
  ,"          NEST  "" TAGLIO / NESTING""",11.69
  ,"          PIEG  "" PIEGATURA""",13.17
  ,"          PROG  "" PROGETTAZIONE""",6.62
  ,"          SALD  "" SALDATURA""",4.2
  ,"     25/245  ""ARE SRL""",38.39
  ,"          IMBA  "" IMBALLAGGIO""",7.67
  ,"          NEST  "" TAGLIO / NESTING""",4.57
  ,"          PIEG  "" PIEGATURA""",17.84
  ,"          PROG  "" PROGETTAZIONE""",4.03
  ,"          SALD  "" SALDATURA""",4.28
  ,"     25/246  ""ARE SRL""",49.65
  ,"          IMBA  "" IMBALLAGGIO""",6.68
  ,"          NEST  "" TAGLIO / NESTING""",7.07
  ,"          PIEG  "" PIEGATURA""",21.3
  ,"          PROG  "" PROGETTAZIONE""",7.31
  ,"          SALD  "" SALDATURA""",7.29
  ,"     25/248  ""ITAL LIFT SOLUTIONS SRL""",42.65
  ,"          IMBA  "" IMBALLAGGIO""",9.45
  ,"          NEST  "" TAGLIO / NESTING""",3.8
  ,"          PIEG  "" PIEGATURA""",12.16
  ,"          PROG  "" PROGETTAZIONE""",14.76
  ,"          SALD  "" SALDATURA""",2.48
  ,"     25/249  ""RIAM ASCENSORI SRL""",3.8
  ,"          IMBA  "" IMBALLAGGIO""",2.38
  ,"          NEST  "" TAGLIO / NESTING""",0.59
  ,"          PIEG  "" PIEGATURA""",0.83
  ,"     25/250  ""CONDOMINIO SINN""",78.65
  ,"          IMBA  "" IMBALLAGGIO""",10.34
  ,"          NEST  "" TAGLIO / NESTING""",8.49
  ,"          PIEG  "" PIEGATURA""",17.35
  ,"          PROG  "" PROGETTAZIONE""",28.26
  ,"          SALD  "" SALDATURA""",14.21
  ,"     25/251  ""RIAM ASCENSORI SRL""",2.5
  ,"          NEST  "" TAGLIO / NESTING""",0.38
  ,"          PIEG  "" PIEGATURA""",2.12
  ,"     25/252  ""LSR-TECH""",3.28
  ,"          IMBA  "" IMBALLAGGIO""",0.22
  ,"          NEST  "" TAGLIO / NESTING""",2.58
  ,"          PROG  "" PROGETTAZIONE""",0.48
  ,"     25/253  ""CORAL""",692.26
  ,"          IMBA  "" IMBALLAGGIO""",238.91
  ,"          NEST  "" TAGLIO / NESTING""",16.08
  ,"          PIEG  "" PIEGATURA""",41.35
  ,"          PROD  "" PRODUZIONE""",10.53
  ,"          PROG  "" PROGETTAZIONE""",258.11
  ,"          SALD  "" SALDATURA""",127.28
  ,"     25/254  ""CORAL""",155.6
  ,"          IMBA  "" IMBALLAGGIO""",14.72
  ,"          NEST  "" TAGLIO / NESTING""",3.05
  ,"          PIEG  "" PIEGATURA""",12.27
  ,"          PROG  "" PROGETTAZIONE""",12.52
  ,"          SALD  "" SALDATURA""",113.04
  ,"     25/255  ""CORAL""",103.95
  ,"          IMBA  "" IMBALLAGGIO""",14.56
  ,"          NEST  "" TAGLIO / NESTING""",0.56
  ,"          PIEG  "" PIEGATURA""",8.47
  ,"          PROG  "" PROGETTAZIONE""",44.38
  ,"          SALD  "" SALDATURA""",35.98
  ,"     25/256  ""CORAL""",152.61
  ,"          IMBA  "" IMBALLAGGIO""",76.3
  ,"          NEST  "" TAGLIO / NESTING""",3.08
  ,"          PIEG  "" PIEGATURA""",13.43
  ,"          PROG  "" PROGETTAZIONE""",56.32
  ,"          SALD  "" SALDATURA""",3.48
  ,"     25/257  ""CORAL""",75.61
  ,"          IMBA  "" IMBALLAGGIO""",18.7
  ,"          NEST  "" TAGLIO / NESTING""",4.51
  ,"          PIEG  "" PIEGATURA""",12.69
  ,"          PROG  "" PROGETTAZIONE""",39.71
  ,"          SALD  "" SALDATURA""",0.0
  ,"     25/258  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",8.12
  ,"          PIEG  "" PIEGATURA""",0.0
  ,"          PROG  "" PROGETTAZIONE""",8.12
  ,"     25/259  ""CORAL""",70.54
  ,"          IMBA  "" IMBALLAGGIO""",9.9
  ,"          NEST  "" TAGLIO / NESTING""",6.69
  ,"          PIEG  "" PIEGATURA""",6.72
  ,"          PROG  "" PROGETTAZIONE""",22.92
  ,"          SALD  "" SALDATURA""",24.31
  ,"     25/260  ""SAT SRL""",1.06
  ,"          IMBA  "" IMBALLAGGIO""",1.06
  ,"     25/261  ""ELMA SPA""",45.38
  ,"          IMBA  "" IMBALLAGGIO""",9.22
  ,"          NEST  "" TAGLIO / NESTING""",6.61
  ,"          PIEG  "" PIEGATURA""",20.82
  ,"          PROG  "" PROGETTAZIONE""",6.2
  ,"          SALD  "" SALDATURA""",2.53
  ,"     25/262  ""CARRARO ASCENSORI SRL""",22.36
  ,"          IMBA  "" IMBALLAGGIO""",4.68
  ,"          NEST  "" TAGLIO / NESTING""",2.13
  ,"          PIEG  "" PIEGATURA""",4.45
  ,"          PROG  "" PROGETTAZIONE""",4.53
  ,"          SALD  "" SALDATURA""",6.57
  ,"     25/264  ""ARENA ASCENSORI SRL""",75.81
  ,"          IMBA  "" IMBALLAGGIO""",33.13
  ,"          NEST  "" TAGLIO / NESTING""",7.56
  ,"          PIEG  "" PIEGATURA""",18.98
  ,"          PROG  "" PROGETTAZIONE""",12.77
  ,"          SALD  "" SALDATURA""",3.37
  ,"     25/265  ""JAM SRL""",5.44
  ,"          IMBA  "" IMBALLAGGIO""",1.09
  ,"          NEST  "" TAGLIO / NESTING""",0.55
  ,"          PIEG  "" PIEGATURA""",3.8
  ,"     25/266  ""ARE SRL""",118.4
  ,"          IMBA  "" IMBALLAGGIO""",33.46
  ,"          NEST  "" TAGLIO / NESTING""",5.11
  ,"          PIEG  "" PIEGATURA""",14.01
  ,"          PROD  "" PRODUZIONE""",2.95
  ,"          PROG  "" PROGETTAZIONE""",61.7
  ,"          SALD  "" SALDATURA""",1.17
  ,"     25/267  ""ARE SRL""",45.76
  ,"          IMBA  "" IMBALLAGGIO""",12.52
  ,"          NEST  "" TAGLIO / NESTING""",9.04
  ,"          PIEG  "" PIEGATURA""",14.74
  ,"          PROG  "" PROGETTAZIONE""",4.73
  ,"          SALD  "" SALDATURA""",4.73
  ,"     25/268  ""SOCIETA' ITALIANA ASCENSORI SRL""",58.15
  ,"          IMBA  "" IMBALLAGGIO""",9.92
  ,"          NEST  "" TAGLIO / NESTING""",7.62
  ,"          PIEG  "" PIEGATURA""",19.51
  ,"          PROG  "" PROGETTAZIONE""",14.43
  ,"          SALD  "" SALDATURA""",6.67
  ,"     25/269  ""SAT SRL""",169.44
  ,"          IMBA  "" IMBALLAGGIO""",52.09
  ,"          NEST  "" TAGLIO / NESTING""",15.71
  ,"          PIEG  "" PIEGATURA""",52.72
  ,"          PROG  "" PROGETTAZIONE""",4.18
  ,"          SALD  "" SALDATURA""",44.74
  ,"     25/270  ""CAVATAIO ASCENSORI SRL""",40.43
  ,"          IMBA  "" IMBALLAGGIO""",8.16
  ,"          NEST  "" TAGLIO / NESTING""",4.9
  ,"          PIEG  "" PIEGATURA""",10.39
  ,"          PROG  "" PROGETTAZIONE""",7.87
  ,"          SALD  "" SALDATURA""",9.11
  ,"     25/271  ""SICEM SRL""",44.06
  ,"          IMBA  "" IMBALLAGGIO""",7.79
  ,"          NEST  "" TAGLIO / NESTING""",10.4
  ,"          PIEG  "" PIEGATURA""",10.55
  ,"          PROD  "" PRODUZIONE""",3.75
  ,"          PROG  "" PROGETTAZIONE""",9.74
  ,"          SALD  "" SALDATURA""",1.83
  ,"     25/273  ""TRR SOLUTIONS SRL""",40.94
  ,"          IMBA  "" IMBALLAGGIO""",5.47
  ,"          NEST  "" TAGLIO / NESTING""",1.52
  ,"          PIEG  "" PIEGATURA""",7.38
  ,"          PROG  "" PROGETTAZIONE""",21.44
  ,"          SALD  "" SALDATURA""",5.13
  ,"     25/274  ""SAT SRL""",78.44
  ,"          IMBA  "" IMBALLAGGIO""",19.89
  ,"          NEST  "" TAGLIO / NESTING""",5.78
  ,"          PIEG  "" PIEGATURA""",12.28
  ,"          PROG  "" PROGETTAZIONE""",0.87
  ,"          SALD  "" SALDATURA""",39.62
  ,"     25/276  ""GRUPPO OCMA SRL""",73.21
  ,"          IMBA  "" IMBALLAGGIO""",12.56
  ,"          NEST  "" TAGLIO / NESTING""",2.39
  ,"          PIEG  "" PIEGATURA""",17.9
  ,"          PROG  "" PROGETTAZIONE""",35.36
  ,"          SALD  "" SALDATURA""",5.0
  ,"     25/277  ""GRUPPO OCMA SRL""",33.69
  ,"          IMBA  "" IMBALLAGGIO""",7.82
  ,"          NEST  "" TAGLIO / NESTING""",3.47
  ,"          PIEG  "" PIEGATURA""",9.07
  ,"          PROG  "" PROGETTAZIONE""",6.02
  ,"          SALD  "" SALDATURA""",7.31
  ,"     25/278  ""GRUPPO OCMA SRL""",65.43
  ,"          IMBA  "" IMBALLAGGIO""",9.36
  ,"          NEST  "" TAGLIO / NESTING""",3.06
  ,"          PIEG  "" PIEGATURA""",16.09
  ,"          PROG  "" PROGETTAZIONE""",30.85
  ,"          SALD  "" SALDATURA""",6.07
  ,"     25/279  ""KRON LIFT GMBH-SRL""",38.5
  ,"          IMBA  "" IMBALLAGGIO""",7.91
  ,"          NEST  "" TAGLIO / NESTING""",3.55
  ,"          PIEG  "" PIEGATURA""",14.96
  ,"          PROG  "" PROGETTAZIONE""",9.38
  ,"          SALD  "" SALDATURA""",2.7
  ,"     25/280  ""VIMA ASCENSORI SRL""",11.9
  ,"          IMBA  "" IMBALLAGGIO""",4.49
  ,"          NEST  "" TAGLIO / NESTING""",0.65
  ,"          PIEG  "" PIEGATURA""",2.45
  ,"          PROG  "" PROGETTAZIONE""",3.21
  ,"          SALD  "" SALDATURA""",1.1
  ,"     25/281  ""BMP SRL""",43.59
  ,"          IMBA  "" IMBALLAGGIO""",3.89
  ,"          NEST  "" TAGLIO / NESTING""",8.98
  ,"          PIEG  "" PIEGATURA""",11.87
  ,"          PROG  "" PROGETTAZIONE""",16.08
  ,"          SALD  "" SALDATURA""",2.77
  ,"     25/282  ""ARE SRL""",45.72
  ,"          IMBA  "" IMBALLAGGIO""",8.56
  ,"          NEST  "" TAGLIO / NESTING""",3.83
  ,"          PIEG  "" PIEGATURA""",16.0
  ,"          PROD  "" PRODUZIONE""",0.13
  ,"          PROG  "" PROGETTAZIONE""",11.13
  ,"          SALD  "" SALDATURA""",6.07
  ,"     25/283  ""ARE SRL""",90.21
  ,"          IMBA  "" IMBALLAGGIO""",10.13
  ,"          NEST  "" TAGLIO / NESTING""",5.85
  ,"          PIEG  "" PIEGATURA""",6.77
  ,"          PROG  "" PROGETTAZIONE""",64.35
  ,"          SALD  "" SALDATURA""",3.11
  ,"     25/284  ""ARE SRL""",29.85
  ,"          IMBA  "" IMBALLAGGIO""",5.48
  ,"          NEST  "" TAGLIO / NESTING""",5.08
  ,"          PIEG  "" PIEGATURA""",10.05
  ,"          PROD  "" PRODUZIONE""",2.0
  ,"          PROG  "" PROGETTAZIONE""",5.26
  ,"          SALD  "" SALDATURA""",1.98
  ,"     25/285  ""ARE SRL""",47.76
  ,"          IMBA  "" IMBALLAGGIO""",8.59
  ,"          NEST  "" TAGLIO / NESTING""",10.73
  ,"          PIEG  "" PIEGATURA""",13.96
  ,"          PROG  "" PROGETTAZIONE""",14.48
  ,"     25/286  ""ARE SRL""",37.01
  ,"          IMBA  "" IMBALLAGGIO""",7.17
  ,"          NEST  "" TAGLIO / NESTING""",2.21
  ,"          PIEG  "" PIEGATURA""",16.39
  ,"          PROG  "" PROGETTAZIONE""",6.35
  ,"          SALD  "" SALDATURA""",4.89
  ,"     25/287  ""ARE SRL""",73.11
  ,"          IMBA  "" IMBALLAGGIO""",5.51
  ,"          NEST  "" TAGLIO / NESTING""",7.33
  ,"          PIEG  "" PIEGATURA""",11.37
  ,"          PROG  "" PROGETTAZIONE""",44.87
  ,"          SALD  "" SALDATURA""",4.03
  ,"     25/288  ""AFOTEK GMBH""",123.27
  ,"          IMBA  "" IMBALLAGGIO""",29.98
  ,"          NEST  "" TAGLIO / NESTING""",9.29
  ,"          PIEG  "" PIEGATURA""",23.11
  ,"          PROG  "" PROGETTAZIONE""",46.79
  ,"          SALD  "" SALDATURA""",14.1
  ,"     25/289  ""SCHINDLER SPA""",1.4
  ,"          NEST  "" TAGLIO / NESTING""",1.3
  ,"          PIEG  "" PIEGATURA""",0.1
  ,"     25/291  ""VIMA ASCENSORI SRL""",34.89
  ,"          IMBA  "" IMBALLAGGIO""",8.51
  ,"          NEST  "" TAGLIO / NESTING""",4.0
  ,"          PIEG  "" PIEGATURA""",13.67
  ,"          PROG  "" PROGETTAZIONE""",4.42
  ,"          SALD  "" SALDATURA""",4.29
  ,"     25/292  ""UPDINAMIC SRL""",91.18
  ,"          IMBA  "" IMBALLAGGIO""",10.3
  ,"          NEST  "" TAGLIO / NESTING""",10.61
  ,"          PIEG  "" PIEGATURA""",25.9
  ,"          PROG  "" PROGETTAZIONE""",31.99
  ,"          SALD  "" SALDATURA""",12.38
  ,"     25/293  ""SELE LIFT SRL""",40.63
  ,"          IMBA  "" IMBALLAGGIO""",6.64
  ,"          NEST  "" TAGLIO / NESTING""",6.2
  ,"          PIEG  "" PIEGATURA""",14.45
  ,"          PROG  "" PROGETTAZIONE""",13.04
  ,"          SALD  "" SALDATURA""",0.3
  ,"     25/295  ""RIAM ASCENSORI SRL""",52.79
  ,"          IMBA  "" IMBALLAGGIO""",17.34
  ,"          NEST  "" TAGLIO / NESTING""",4.81
  ,"          PIEG  "" PIEGATURA""",10.98
  ,"          PROG  "" PROGETTAZIONE""",8.33
  ,"          SALD  "" SALDATURA""",11.33
  ,"     25/296  ""RIAM ASCENSORI SRL""",92.14
  ,"          IMBA  "" IMBALLAGGIO""",14.7
  ,"          NEST  "" TAGLIO / NESTING""",7.09
  ,"          PIEG  "" PIEGATURA""",20.36
  ,"          PROD  "" PRODUZIONE""",1.49
  ,"          PROG  "" PROGETTAZIONE""",39.22
  ,"          SALD  "" SALDATURA""",9.28
  ,"     25/297  ""RIAM ASCENSORI SRL""",42.2
  ,"          IMBA  "" IMBALLAGGIO""",12.28
  ,"          NEST  "" TAGLIO / NESTING""",5.79
  ,"          PIEG  "" PIEGATURA""",13.34
  ,"          PROG  "" PROGETTAZIONE""",7.43
  ,"          SALD  "" SALDATURA""",3.36
  ,"     25/298  ""MARTINELLI ASCENSORI SRL""",5.88
  ,"          IMBA  "" IMBALLAGGIO""",0.73
  ,"          PROG  "" PROGETTAZIONE""",1.38
  ,"          SALD  "" SALDATURA""",3.77
  ,"     25/299  ""CEST SRL""",4.44
  ,"          IMBA  "" IMBALLAGGIO""",0.68
  ,"          NEST  "" TAGLIO / NESTING""",0.87
  ,"          PIEG  "" PIEGATURA""",0.82
  ,"          PROG  "" PROGETTAZIONE""",2.07
  ,"     25/300  ""PROVINCIA AUTONOMA DI TRENTO""",3.91
  ,"          PROG  "" PROGETTAZIONE""",3.91
  ,"     25/301  ""ARE SRL""",62.36
  ,"          IMBA  "" IMBALLAGGIO""",9.64
  ,"          NEST  "" TAGLIO / NESTING""",4.86
  ,"          PIEG  "" PIEGATURA""",17.19
  ,"          PROG  "" PROGETTAZIONE""",29.52
  ,"          SALD  "" SALDATURA""",1.15
  ,"     25/302  ""ARE SRL""",45.11
  ,"          IMBA  "" IMBALLAGGIO""",11.43
  ,"          NEST  "" TAGLIO / NESTING""",4.3
  ,"          PIEG  "" PIEGATURA""",13.68
  ,"          PROG  "" PROGETTAZIONE""",10.56
  ,"          SALD  "" SALDATURA""",5.14
  ,"     25/303  ""ARE SRL""",79.3
  ,"          IMBA  "" IMBALLAGGIO""",12.96
  ,"          NEST  "" TAGLIO / NESTING""",3.03
  ,"          PIEG  "" PIEGATURA""",11.61
  ,"          PROG  "" PROGETTAZIONE""",49.13
  ,"          SALD  "" SALDATURA""",2.57
  ,"     25/304  ""ARE SRL""",49.07
  ,"          IMBA  "" IMBALLAGGIO""",11.27
  ,"          NEST  "" TAGLIO / NESTING""",6.28
  ,"          PIEG  "" PIEGATURA""",15.68
  ,"          PROG  "" PROGETTAZIONE""",10.15
  ,"          SALD  "" SALDATURA""",5.69
  ,"     25/305  ""DISNAMAIR SA""",81.32
  ,"          IMBA  "" IMBALLAGGIO""",19.28
  ,"          NEST  "" TAGLIO / NESTING""",3.37
  ,"          PIEG  "" PIEGATURA""",20.74
  ,"          PROD  "" PRODUZIONE""",1.32
  ,"          PROG  "" PROGETTAZIONE""",21.21
  ,"          SALD  "" SALDATURA""",15.4
  ,"     25/306  ""DISNAMAIR SA""",82.65
  ,"          IMBA  "" IMBALLAGGIO""",3.88
  ,"          NEST  "" TAGLIO / NESTING""",2.79
  ,"          PROG  "" PROGETTAZIONE""",2.5
  ,"          SALD  "" SALDATURA""",73.48
  ,"     25/307  ""DISNAMAIR SA""",87.48
  ,"          IMBA  "" IMBALLAGGIO""",21.48
  ,"          NEST  "" TAGLIO / NESTING""",4.87
  ,"          PIEG  "" PIEGATURA""",9.45
  ,"          PROG  "" PROGETTAZIONE""",32.97
  ,"          SALD  "" SALDATURA""",18.71
  ,"     25/308  ""DISNAMAIR SA""",32.83
  ,"          IMBA  "" IMBALLAGGIO""",3.03
  ,"          NEST  "" TAGLIO / NESTING""",4.35
  ,"          PROG  "" PROGETTAZIONE""",2.22
  ,"          SALD  "" SALDATURA""",23.23
  ,"     25/309  ""MC MUGLIA ASCENSORI SRL""",36.51
  ,"          IMBA  "" IMBALLAGGIO""",6.91
  ,"          NEST  "" TAGLIO / NESTING""",4.15
  ,"          PIEG  "" PIEGATURA""",13.43
  ,"          PROG  "" PROGETTAZIONE""",6.68
  ,"          SALD  "" SALDATURA""",5.34
  ,"     25/310  ""MARIVO ASCENSORI SRL""",33.02
  ,"          IMBA  "" IMBALLAGGIO""",10.22
  ,"          NEST  "" TAGLIO / NESTING""",2.6
  ,"          PIEG  "" PIEGATURA""",10.69
  ,"          PROG  "" PROGETTAZIONE""",7.26
  ,"          SALD  "" SALDATURA""",2.25
  ,"     25/311  ""ASCENSORI STASI di Stasi Antonio""",4.02
  ,"          IMBA  "" IMBALLAGGIO""",0.6
  ,"          NEST  "" TAGLIO / NESTING""",1.5
  ,"          PIEG  "" PIEGATURA""",1.35
  ,"          PROG  "" PROGETTAZIONE""",0.57
  ,"     25/312  ""MARIVO ASCENSORI SRL""",178.13
  ,"          IMBA  "" IMBALLAGGIO""",12.86
  ,"          NEST  "" TAGLIO / NESTING""",8.94
  ,"          PIEG  "" PIEGATURA""",14.64
  ,"          PROG  "" PROGETTAZIONE""",46.64
  ,"          SALD  "" SALDATURA""",95.05
  ,"     25/313  ""MYLIFT ITALIA SRL""",79.34
  ,"          IMBA  "" IMBALLAGGIO""",18.81
  ,"          NEST  "" TAGLIO / NESTING""",3.67
  ,"          PIEG  "" PIEGATURA""",23.91
  ,"          PROD  "" PRODUZIONE""",1.74
  ,"          PROG  "" PROGETTAZIONE""",19.94
  ,"          SALD  "" SALDATURA""",11.27
  ,"     25/315  ""GRUPPO OCMA SRL""",0.68
  ,"          IMBA  "" IMBALLAGGIO""",0.18
  ,"          PROG  "" PROGETTAZIONE""",0.5
  ,"     25/316  ""ARE SRL""",38.42
  ,"          IMBA  "" IMBALLAGGIO""",9.79
  ,"          NEST  "" TAGLIO / NESTING""",6.42
  ,"          PIEG  "" PIEGATURA""",14.27
  ,"          PROG  "" PROGETTAZIONE""",3.97
  ,"          SALD  "" SALDATURA""",3.97
  ,"     25/317  ""ARE SRL""",72.04
  ,"          IMBA  "" IMBALLAGGIO""",14.44
  ,"          NEST  "" TAGLIO / NESTING""",8.51
  ,"          PIEG  "" PIEGATURA""",25.42
  ,"          PROD  "" PRODUZIONE""",0.97
  ,"          PROG  "" PROGETTAZIONE""",14.63
  ,"          SALD  "" SALDATURA""",8.07
  ,"     25/318  ""ARE SRL""",53.57
  ,"          IMBA  "" IMBALLAGGIO""",18.09
  ,"          NEST  "" TAGLIO / NESTING""",5.23
  ,"          PIEG  "" PIEGATURA""",17.01
  ,"          PROG  "" PROGETTAZIONE""",6.05
  ,"          SALD  "" SALDATURA""",7.19
  ,"     25/319  ""ARE SRL""",40.09
  ,"          IMBA  "" IMBALLAGGIO""",4.41
  ,"          NEST  "" TAGLIO / NESTING""",8.39
  ,"          PIEG  "" PIEGATURA""",19.08
  ,"          PROG  "" PROGETTAZIONE""",4.6
  ,"          SALD  "" SALDATURA""",3.61
  ,"     25/320  ""ARE SRL""",60.19
  ,"          IMBA  "" IMBALLAGGIO""",7.53
  ,"          NEST  "" TAGLIO / NESTING""",4.55
  ,"          PIEG  "" PIEGATURA""",17.71
  ,"          PROG  "" PROGETTAZIONE""",18.26
  ,"          SALD  "" SALDATURA""",12.14
  ,"     25/321  ""ARE SRL""",3.67
  ,"          IMBA  "" IMBALLAGGIO""",0.99
  ,"          PIEG  "" PIEGATURA""",1.25
  ,"          PROG  "" PROGETTAZIONE""",1.43
  ,"     25/322  ""ARE SRL""",3.91
  ,"          IMBA  "" IMBALLAGGIO""",1.76
  ,"          NEST  "" TAGLIO / NESTING""",0.63
  ,"          PIEG  "" PIEGATURA""",1.02
  ,"          PROG  "" PROGETTAZIONE""",0.5
