  ,COMMESSA,ORE
  ,"     25/022  ""ARE SRL""",52.9
  ,"          IMBA  "" IMBALLAGGIO""",10.55
  ,"          PIEG  "" PIEGATURA""",13.31
  ,"          PROD  "" PRODUZIONE""",0.58
  ,"          PROG  "" PROGETTAZIONE""",18.74
  ,"          SALD  "" SALDATURA""",9.72
  ,"     25/023  ""ARE SRL""",29.17
  ,"          IMBA  "" IMBALLAGGIO""",9.31
  ,"          NEST  "" TAGLIO / NESTING""",0.58
  ,"          PIEG  "" PIEGATURA""",6.75
  ,"          PROD  "" PRODUZIONE""",0.58
  ,"          PROG  "" PROGETTAZIONE""",11.95
  ,"     25/024  ""BULGHERINI PU""",58.74
  ,"          IMBA  "" IMBALLAGGIO""",12.37
  ,"          NEST  "" TAGLIO / NESTING""",8.56
  ,"          PIEG  "" PIEGATURA""",18.81
  ,"          PROG  "" PROGETTAZIONE""",14.15
  ,"          SALD  "" SALDATURA""",4.85
  ,"     25/025  ""BIME ELEVATORI SRL""",33.88
  ,"          IMBA  "" IMBALLAGGIO""",9.74
  ,"          NEST  "" TAGLIO / NESTING""",1.17
  ,"          PIEG  "" PIEGATURA""",7.26
  ,"          PROG  "" PROGETTAZIONE""",13.74
  ,"          SALD  "" SALDATURA""",1.97
  ,"     25/026  ""SCHINDLER SPA""",55.31
  ,"          IMBA  "" IMBALLAGGIO""",8.54
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",29.53
  ,"          PROD  "" PRODUZIONE""",1.25
  ,"          PROG  "" PROGETTAZIONE""",7.07
  ,"          SALD  "" SALDATURA""",7.92
  ,"     25/027  ""BIME ELEVATORI SRL""",46.88
  ,"          IMBA  "" IMBALLAGGIO""",11.99
  ,"          NEST  "" TAGLIO / NESTING""",2.0
  ,"          PIEG  "" PIEGATURA""",14.76
  ,"          PROG  "" PROGETTAZIONE""",13.41
  ,"          SALD  "" SALDATURA""",4.72
  ,"     25/028  ""ARE SRL""",65.69
  ,"          IMBA  "" IMBALLAGGIO""",13.37
  ,"          NEST  "" TAGLIO / NESTING""",1.72
  ,"          PIEG  "" PIEGATURA""",17.52
  ,"          PROD  "" PRODUZIONE""",1.72
  ,"          PROG  "" PROGETTAZIONE""",28.23
  ,"          SALD  "" SALDATURA""",3.13
  ,"     25/029  ""COMPAGNIA SIDERURGICA SPA""",93.93
  ,"          IMBA  "" IMBALLAGGIO""",49.31
  ,"          NEST  "" TAGLIO / NESTING""",3.3
  ,"          PIEG  "" PIEGATURA""",22.92
  ,"          PROG  "" PROGETTAZIONE""",8.31
  ,"          SALD  "" SALDATURA""",10.09
  ,"     25/030  ""MECA TECHNOLOGY SRL""",22.97
  ,"          IMBA  "" IMBALLAGGIO""",1.47
  ,"          PIEG  "" PIEGATURA""",9.91
  ,"          PROD  "" PRODUZIONE""",1.28
  ,"          PROG  "" PROGETTAZIONE""",8.4
  ,"          SALD  "" SALDATURA""",1.91
  ,"     25/031  ""SAT SRL""",14.63
  ,"          IMBA  "" IMBALLAGGIO""",0.26
  ,"          PROG  "" PROGETTAZIONE""",1.02
  ,"          SALD  "" SALDATURA""",13.35
  ,"     25/032  ""SELE LIFT SRL""",47.44
  ,"          IMBA  "" IMBALLAGGIO""",12.7
  ,"          NEST  "" TAGLIO / NESTING""",3.06
  ,"          PIEG  "" PIEGATURA""",18.87
  ,"          PROG  "" PROGETTAZIONE""",11.36
  ,"          SALD  "" SALDATURA""",1.45
  ,"     25/033  ""MARTINELLI ASCENSORI SRL""",2.3
  ,"          IMBA  "" IMBALLAGGIO""",0.02
  ,"          NEST  "" TAGLIO / NESTING""",0.3
  ,"          PIEG  "" PIEGATURA""",0.9
  ,"          PROG  "" PROGETTAZIONE""",1.08
  ,"     25/036  ""BULGHERINI MC""",27.86
  ,"          IMBA  "" IMBALLAGGIO""",1.18
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",9.96
  ,"          PROG  "" PROGETTAZIONE""",10.6
  ,"          SALD  "" SALDATURA""",5.12
  ,"     25/037  ""CENTER LIFT SRL""",88.88
  ,"          IMBA  "" IMBALLAGGIO""",16.85
  ,"          NEST  "" TAGLIO / NESTING""",14.13
  ,"          PIEG  "" PIEGATURA""",31.66
  ,"          PROG  "" PROGETTAZIONE""",19.22
  ,"          SALD  "" SALDATURA""",7.02
  ,"     25/039  ""SCHINDLER SPA""",18.96
  ,"          IMBA  "" IMBALLAGGIO""",0.5
  ,"          NEST  "" TAGLIO / NESTING""",1.65
  ,"          PIEG  "" PIEGATURA""",7.71
  ,"          PROG  "" PROGETTAZIONE""",9.1
  ,"     25/040  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",40.32
  ,"          IMBA  "" IMBALLAGGIO""",10.42
  ,"          NEST  "" TAGLIO / NESTING""",1.18
  ,"          PIEG  "" PIEGATURA""",17.16
  ,"          PROG  "" PROGETTAZIONE""",5.79
  ,"          SALD  "" SALDATURA""",5.77
  ,"     25/041  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",34.37
  ,"          IMBA  "" IMBALLAGGIO""",7.68
  ,"          PIEG  "" PIEGATURA""",16.16
  ,"          PROD  "" PRODUZIONE""",0.9
  ,"          PROG  "" PROGETTAZIONE""",2.75
  ,"          SALD  "" SALDATURA""",6.88
  ,"     25/042  ""ARE SRL""",36.96
  ,"          IMBA  "" IMBALLAGGIO""",7.15
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",9.71
  ,"          PROG  "" PROGETTAZIONE""",17.7
  ,"          SALD  "" SALDATURA""",1.4
  ,"     25/043  ""BULGHERINI MC""",16.41
  ,"          IMBA  "" IMBALLAGGIO""",3.5
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",3.53
  ,"          PROG  "" PROGETTAZIONE""",6.23
  ,"          SALD  "" SALDATURA""",2.15
  ,"     25/045  ""RIAM ASCENSORI SRL""",4.1
  ,"          PIEG  "" PIEGATURA""",1.82
  ,"          PROG  "" PROGETTAZIONE""",2.28
  ,"     25/046  ""BULGHERINI PU""",78.39
  ,"          IMBA  "" IMBALLAGGIO""",15.3
  ,"          NEST  "" TAGLIO / NESTING""",10.08
  ,"          PIEG  "" PIEGATURA""",15.4
  ,"          PROD  "" PRODUZIONE""",1.67
  ,"          PROG  "" PROGETTAZIONE""",24.16
  ,"          SALD  "" SALDATURA""",11.78
  ,"     25/047  ""DETTO SRL""",52.22
  ,"          IMBA  "" IMBALLAGGIO""",10.54
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",14.61
  ,"          PROD  "" PRODUZIONE""",0.88
  ,"          PROG  "" PROGETTAZIONE""",18.84
  ,"          SALD  "" SALDATURA""",6.35
  ,"     25/048  ""SCHINDLER SPA""",22.67
  ,"          IMBA  "" IMBALLAGGIO""",0.78
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",3.92
  ,"          PROG  "" PROGETTAZIONE""",16.18
  ,"          SALD  "" SALDATURA""",0.79
  ,"     25/049  ""BONI IMPIANTI di Boni Renzo""",0.6
  ,"          IMBA  "" IMBALLAGGIO""",0.17
  ,"          PIEG  "" PIEGATURA""",0.43
  ,"     25/051  ""AMMAR SRL""",168.28
  ,"          IMBA  "" IMBALLAGGIO""",26.0
  ,"          NEST  "" TAGLIO / NESTING""",3.42
  ,"          PIEG  "" PIEGATURA""",38.13
  ,"          PROG  "" PROGETTAZIONE""",79.51
  ,"          SALD  "" SALDATURA""",21.22
  ,"     25/052  ""RIAM ASCENSORI SRL""",1.88
  ,"          PIEG  "" PIEGATURA""",0.58
  ,"          PROG  "" PROGETTAZIONE""",1.3
  ,"     25/053  ""RIAM ASCENSORI SRL""",8.9
  ,"          NEST  "" TAGLIO / NESTING""",0.5
  ,"          PIEG  "" PIEGATURA""",4.34
  ,"          PROG  "" PROGETTAZIONE""",4.06
  ,"     25/054  ""RIAM ASCENSORI SRL""",4.24
  ,"          IMBA  "" IMBALLAGGIO""",0.76
  ,"          PIEG  "" PIEGATURA""",1.03
  ,"          PROG  "" PROGETTAZIONE""",2.45
  ,"     25/056  ""JAM SRL""",39.31
  ,"          IMBA  "" IMBALLAGGIO""",8.72
  ,"          NEST  "" TAGLIO / NESTING""",6.7
  ,"          PIEG  "" PIEGATURA""",15.64
  ,"          PROG  "" PROGETTAZIONE""",8.25
  ,"     25/057  ""CENTER LIFT SRL""",67.64
  ,"          IMBA  "" IMBALLAGGIO""",9.98
  ,"          NEST  "" TAGLIO / NESTING""",10.94
  ,"          PIEG  "" PIEGATURA""",20.48
  ,"          PROG  "" PROGETTAZIONE""",12.64
  ,"          SALD  "" SALDATURA""",13.6
  ,"     25/058  ""ARE SRL""",42.67
  ,"          IMBA  "" IMBALLAGGIO""",8.97
  ,"          NEST  "" TAGLIO / NESTING""",2.0
  ,"          PIEG  "" PIEGATURA""",14.04
  ,"          PROG  "" PROGETTAZIONE""",12.01
  ,"          SALD  "" SALDATURA""",5.65
  ,"     25/059  ""ARE SRL""",37.02
  ,"          IMBA  "" IMBALLAGGIO""",7.77
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",5.74
  ,"          PROD  "" PRODUZIONE""",2.65
  ,"          PROG  "" PROGETTAZIONE""",18.38
  ,"          SALD  "" SALDATURA""",1.48
  ,"     25/060  ""ARE SRL""",41.24
  ,"          IMBA  "" IMBALLAGGIO""",9.28
  ,"          NEST  "" TAGLIO / NESTING""",1.1
  ,"          PIEG  "" PIEGATURA""",13.3
  ,"          PROD  "" PRODUZIONE""",2.05
  ,"          PROG  "" PROGETTAZIONE""",12.22
  ,"          SALD  "" SALDATURA""",3.29
  ,"     25/061  ""ARE SRL""",29.7
  ,"          IMBA  "" IMBALLAGGIO""",5.96
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",11.28
  ,"          PROG  "" PROGETTAZIONE""",9.45
  ,"          SALD  "" SALDATURA""",2.01
  ,"     25/062  ""ARE SRL""",30.11
  ,"          IMBA  "" IMBALLAGGIO""",8.93
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",14.35
  ,"          PROG  "" PROGETTAZIONE""",3.93
  ,"          SALD  "" SALDATURA""",1.9
  ,"     25/063  ""ARE SRL""",35.74
  ,"          IMBA  "" IMBALLAGGIO""",8.23
  ,"          NEST  "" TAGLIO / NESTING""",2.33
  ,"          PIEG  "" PIEGATURA""",12.84
  ,"          PROD  "" PRODUZIONE""",0.63
  ,"          PROG  "" PROGETTAZIONE""",9.67
  ,"          SALD  "" SALDATURA""",2.04
  ,"     25/064  ""ARE SRL""",51.36
  ,"          IMBA  "" IMBALLAGGIO""",11.13
  ,"          NEST  "" TAGLIO / NESTING""",10.05
  ,"          PIEG  "" PIEGATURA""",14.81
  ,"          PROD  "" PRODUZIONE""",1.92
  ,"          PROG  "" PROGETTAZIONE""",11.55
  ,"          SALD  "" SALDATURA""",1.9
  ,"     25/065  ""CGP ASCENSORI""",8.79
  ,"          IMBA  "" IMBALLAGGIO""",0.29
  ,"          PIEG  "" PIEGATURA""",1.27
  ,"          PROG  "" PROGETTAZIONE""",7.23
  ,"     25/066  ""SAT SRL""",8.66
  ,"          IMBA  "" IMBALLAGGIO""",0.18
  ,"          PROG  "" PROGETTAZIONE""",0.65
  ,"          SALD  "" SALDATURA""",7.83
  ,"     25/067  ""KALEIDOSCOPIO S.C.S.""",166.64
  ,"          IMBA  "" IMBALLAGGIO""",13.79
  ,"          NEST  "" TAGLIO / NESTING""",18.12
  ,"          PIEG  "" PIEGATURA""",32.17
  ,"          PROG  "" PROGETTAZIONE""",80.43
  ,"          SALD  "" SALDATURA""",22.13
  ,"     25/068  ""TK ELEVATOR ITALIA SPA""",22.1
  ,"          IMBA  "" IMBALLAGGIO""",3.28
  ,"          PIEG  "" PIEGATURA""",4.59
  ,"          PROG  "" PROGETTAZIONE""",14.23
  ,"     25/069  ""FILTERSYSTEM SRL""",26.67
  ,"          IMBA  "" IMBALLAGGIO""",9.32
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",4.33
  ,"          PROD  "" PRODUZIONE""",3.88
  ,"          PROG  "" PROGETTAZIONE""",7.51
  ,"          SALD  "" SALDATURA""",0.63
  ,"     25/070  ""AFOTEK GMBH""",45.29
  ,"          IMBA  "" IMBALLAGGIO""",23.14
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",10.75
  ,"          PROD  "" PRODUZIONE""",1.28
  ,"          PROG  "" PROGETTAZIONE""",3.81
  ,"          SALD  "" SALDATURA""",5.31
  ,"     25/071  ""SAT SRL""",57.15
  ,"          IMBA  "" IMBALLAGGIO""",19.98
  ,"          NEST  "" TAGLIO / NESTING""",3.17
  ,"          PIEG  "" PIEGATURA""",10.69
  ,"          PROD  "" PRODUZIONE""",4.13
  ,"          PROG  "" PROGETTAZIONE""",10.42
  ,"          SALD  "" SALDATURA""",8.76
  ,"     25/072  ""PROVESI SRL""",0.58
  ,"          PROG  "" PROGETTAZIONE""",0.58
  ,"     25/073  ""FERRARA ASCENSORI SRL""",53.15
  ,"          IMBA  "" IMBALLAGGIO""",13.44
  ,"          NEST  "" TAGLIO / NESTING""",5.93
  ,"          PIEG  "" PIEGATURA""",5.47
  ,"          PROD  "" PRODUZIONE""",0.85
  ,"          PROG  "" PROGETTAZIONE""",13.7
  ,"          SALD  "" SALDATURA""",13.76
  ,"     25/074  ""UPDINAMIC SRL""",100.15
  ,"          IMBA  "" IMBALLAGGIO""",14.91
  ,"          NEST  "" TAGLIO / NESTING""",8.1
  ,"          PIEG  "" PIEGATURA""",10.73
  ,"          PROD  "" PRODUZIONE""",5.76
  ,"          PROG  "" PROGETTAZIONE""",43.14
  ,"          SALD  "" SALDATURA""",17.51
  ,"     25/075  ""KRON LIFT GMBH-SRL""",60.28
  ,"          IMBA  "" IMBALLAGGIO""",24.43
  ,"          NEST  "" TAGLIO / NESTING""",6.31
  ,"          PIEG  "" PIEGATURA""",13.07
  ,"          PROD  "" PRODUZIONE""",1.2
  ,"          PROG  "" PROGETTAZIONE""",13.45
  ,"          SALD  "" SALDATURA""",1.82
  ,"     25/076  ""GSB ASCENSORI SRL""",2.22
  ,"          IMBA  "" IMBALLAGGIO""",0.87
  ,"          PIEG  "" PIEGATURA""",0.65
  ,"          PROG  "" PROGETTAZIONE""",0.7
  ,"     25/078  ""ARE SRL""",47.08
  ,"          IMBA  "" IMBALLAGGIO""",11.96
  ,"          NEST  "" TAGLIO / NESTING""",2.07
  ,"          PIEG  "" PIEGATURA""",16.08
  ,"          PROG  "" PROGETTAZIONE""",13.23
  ,"          SALD  "" SALDATURA""",3.74
  ,"     25/079  ""ARE SRL""",41.02
  ,"          IMBA  "" IMBALLAGGIO""",9.96
  ,"          NEST  "" TAGLIO / NESTING""",6.22
  ,"          PIEG  "" PIEGATURA""",14.78
  ,"          PROG  "" PROGETTAZIONE""",8.86
  ,"          SALD  "" SALDATURA""",1.2
  ,"     25/080  ""ARE SRL""",33.04
  ,"          IMBA  "" IMBALLAGGIO""",6.11
  ,"          NEST  "" TAGLIO / NESTING""",2.08
  ,"          PIEG  "" PIEGATURA""",11.5
  ,"          PROG  "" PROGETTAZIONE""",9.27
  ,"          SALD  "" SALDATURA""",4.08
  ,"     25/081  ""ARE SRL""",29.05
  ,"          IMBA  "" IMBALLAGGIO""",9.31
  ,"          NEST  "" TAGLIO / NESTING""",2.07
  ,"          PIEG  "" PIEGATURA""",11.42
  ,"          PROG  "" PROGETTAZIONE""",4.87
  ,"          SALD  "" SALDATURA""",1.38
  ,"     25/082  ""ARE SRL""",1.02
  ,"          IMBA  "" IMBALLAGGIO""",0.47
  ,"          PROG  "" PROGETTAZIONE""",0.55
  ,"     25/083  ""USAPI SRL""",0.88
  ,"          IMBA  "" IMBALLAGGIO""",0.18
  ,"          NEST  "" TAGLIO / NESTING""",0.7
  ,"     25/086  ""JAM SRL""",153.49
  ,"          IMBA  "" IMBALLAGGIO""",27.91
  ,"          NEST  "" TAGLIO / NESTING""",13.19
  ,"          PIEG  "" PIEGATURA""",30.5
  ,"          PROG  "" PROGETTAZIONE""",75.9
  ,"          SALD  "" SALDATURA""",5.99
  ,"     25/087  ""RIMACO SRL""",70.63
  ,"          IMBA  "" IMBALLAGGIO""",17.9
  ,"          NEST  "" TAGLIO / NESTING""",2.68
  ,"          PIEG  "" PIEGATURA""",15.43
  ,"          PROG  "" PROGETTAZIONE""",30.37
  ,"          SALD  "" SALDATURA""",4.25
  ,"     25/088  ""TRR SOLUTIONS SRL""",4.37
  ,"          IMBA  "" IMBALLAGGIO""",0.08
  ,"          NEST  "" TAGLIO / NESTING""",0.4
  ,"          PIEG  "" PIEGATURA""",2.44
  ,"          PROG  "" PROGETTAZIONE""",1.45
  ,"     25/089  ""CORAL""",183.71
  ,"          IMBA  "" IMBALLAGGIO""",35.89
  ,"          NEST  "" TAGLIO / NESTING""",3.84
  ,"          PIEG  "" PIEGATURA""",14.44
  ,"          PROG  "" PROGETTAZIONE""",75.59
  ,"          SALD  "" SALDATURA""",53.95
  ,"     25/090  ""CORAL""",74.58
  ,"          IMBA  "" IMBALLAGGIO""",1.6
  ,"          NEST  "" TAGLIO / NESTING""",5.43
  ,"          PIEG  "" PIEGATURA""",2.92
  ,"          PROG  "" PROGETTAZIONE""",50.09
  ,"          SALD  "" SALDATURA""",14.54
  ,"     25/091  ""CORAL""",112.03
