Nr. Commessa,"IMBA  "" IMBALLAGGIO""","NEST  "" TAGLIO / NESTING""","PIEG  "" PIEGATURA""","PROD  "" PRODUZIONE""","PROG  "" PROGETTAZIONE""","SALD  "" SALDATURA""",Totale Ore
"25/345  ""TVM SRL""",16.2,2.55,19.44,,79.23,10.62,128.04
"25/346  ""RIAM ASCENSORI SRL""",0.37,,0.65,2.0,,,3.02
"25/347  ""OMP SRL""",12.04,2.46,16.36,,13.73,8.65,53.24
"25/348  ""OMP SRL""",15.7,5.14,11.47,,10.98,9.13,52.42
"25/349  ""RIAM ASCENSORI SRL""",14.07,6.19,18.78,0.18,10.67,6.84,56.73
"25/350  ""SCHINDLER SPA""",6.92,0.99,6.36,,6.45,1.52,22.24
"25/351  ""COMPAGNIA SIDERURGICA SPA""",75.14,11.22,34.89,5.35,58.45,19.75,204.8
"25/352  ""BIME ELEVATORI SRL""",8.96,1.56,17.93,,6.05,0.7,35.2
"25/353  ""BIME ELEVATORI SRL""",10.45,3.06,11.7,,14.4,3.1,42.71
"25/354  ""ELECTRO-LIFT SRL""",5.84,4.22,23.96,0.22,18.97,10.78,63.99
"25/355  ""RIAM ASCENSORI SRL""",,,1.05,,,,1.05
"25/356  ""ARE SRL""",9.29,5.47,7.24,,5.19,7.0,34.19
"25/357  ""ARE SRL""",16.51,2.43,11.67,,7.54,3.9,42.05
"25/358  ""ARE SRL""",5.63,5.82,13.96,,12.36,,37.77
"25/359  ""ARE SRL""",4.97,3.92,8.68,,4.81,1.12,23.5
"25/360  ""ARE SRL""",6.03,3.09,6.35,,8.23,1.8,25.5
"25/361  ""DB ELEV SRL""",17.56,13.73,11.92,0.0,14.57,7.82,65.6
"25/363  ""ARNO MANETTI ASCENSORI SRL""",14.48,9.0,10.14,,26.57,8.04,68.23
"25/364  ""SELE LIFT SRL""",6.71,6.76,6.06,,8.9,1.76,30.19
"25/365  ""ALICRON SRL""",7.78,4.21,7.1,,7.92,0.85,27.86
"25/366  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",0.88,0.38,0.55,,4.1,,5.91
"25/368  ""SAT SRL""",0.15,,,,,,0.15
"25/369  ""KRON LIFT GMBH-SRL""",7.6,8.35,12.83,,17.28,2.12,48.18
"25/370  ""KRON LIFT GMBH-SRL""",18.35,6.56,16.6,0.42,7.83,10.12,59.88
"25/371  ""CENTER LIFT SRL""",0.25,,,,0.3,,0.55
"25/372  ""GSB ASCENSORI SRL""",0.69,0.63,,,1.35,,2.67
"25/373  ""BIME ELEVATORI SRL""",2.24,0.62,4.01,,6.91,,13.78
"25/375  ""CENTER LIFT LOMBARDIA SRL""",10.82,4.05,10.97,,6.55,,32.39
"25/376  ""ARE SRL""",8.11,2.82,11.31,,5.74,4.59,32.57
"25/377  ""ARE SRL""",7.81,2.76,14.19,,9.98,2.38,37.12
"25/378  ""ARE SRL""",17.22,4.23,17.62,,16.72,9.45,65.24
"25/379  ""ARE SRL""",6.49,4.43,13.01,,8.46,5.18,37.57
"25/380  ""ARE SRL""",7.26,5.05,10.67,,8.84,3.82,35.64
"25/381  ""ARE SRL""",4.5,6.07,5.84,,8.91,3.79,29.11
"25/382  ""JAM SRL""",10.44,5.36,12.67,,10.77,12.31,51.55
"25/383  ""JOHANN SCHUM AUFZUGTECHNIK GMBH""",9.97,7.01,12.11,,13.22,7.97,50.28
"25/385  ""SCHINDLER SPA""",11.59,8.83,15.87,,21.63,5.05,62.97
"25/386  ""RIAM ASCENSORI SRL""",0.05,1.18,4.2,,2.06,,7.49
"25/387  ""PAPILLO ASCENSORI SRL""",11.75,10.31,10.58,,12.86,5.83,51.33
"25/388  ""MAD DI TOMASONI GIUSEPPE E C. SRL""",6.9,2.81,9.24,,5.15,2.73,26.83
"25/389  ""SCHINDLER SPA""",10.38,5.26,12.91,,10.64,1.32,40.51
"25/390  ""RIAM ASCENSORI SRL""",0.57,,0.6,,1.82,,2.99
"25/391  ""VITALI ASCENSORI SRL""",0.58,0.55,,,1.05,,2.18
"25/392  ""BULGHERINI PU""",6.86,6.16,19.62,0.64,7.35,5.39,46.02
"25/393  ""DETTO SRL""",14.71,8.05,16.29,,17.37,6.57,62.99
"25/394  ""ARE SRL""",10.54,2.77,13.5,0.67,6.33,4.51,38.32
"25/395  ""ARE SRL""",9.65,6.32,13.29,,14.28,2.68,46.22
"25/396  ""CAMPANA 1942 SRL""",8.34,2.83,11.39,0.75,24.52,4.37,52.2
"25/397  ""ASCENSORI STASI""",19.21,12.15,14.16,0.0,48.36,0.33,94.21
"25/398  ""MAD DI TOMASONI GIUSEPPE E C. SRL""",9.48,8.56,8.03,,6.69,8.44,41.2
"25/399  ""USAPI SRL""",0.92,,,,,,0.92
"25/400  ""LIFT 2000 GMBH-SRL""",16.65,6.0,11.89,,19.23,8.18,61.95
"25/402  ""SAT SRL""",16.26,8.89,15.36,,,30.18,70.69
"25/403  ""BAVARIA LIFTTECHNIK GMBH""",8.67,7.18,15.11,,9.24,7.44,47.64
"25/404  ""AMMAR SRL""",,,1.23,,,,1.23
"25/405  ""RIAM ASCENSORI SRL""",0.28,0.17,5.6,,1.72,,7.77
"25/406  ""ASCENSORI BOSSI SNC""",18.83,11.15,15.08,1.78,9.05,7.7,63.59
"25/407  ""CENTER LIFT SRL""",0.43,,0.6,,0.5,0.97,2.5
"25/408  ""SCHINDLER SPA""",0.13,,0.72,,,,0.85
"25/409  ""MODESTO SRL""",8.55,5.2,13.32,,6.52,3.36,36.95
"25/410  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",10.92,6.04,19.96,,24.15,5.77,66.84
"25/411  ""ARE SRL""",9.68,4.72,7.16,,47.22,5.83,74.61
"25/412  ""ARE SRL""",9.25,5.14,16.98,,7.4,8.49,47.26
"25/413  ""ARE SRL""",8.59,9.22,11.36,,31.02,3.61,63.8
"25/414  ""ARE SRL""",10.81,3.77,12.46,,5.6,2.0,34.64
"25/415  ""ARE SRL""",0.6,,,,,,0.6
"25/416  ""ARE SRL""",28.4,5.45,12.37,4.25,8.73,7.9,67.1
"25/417  ""ARE SRL""",7.94,6.07,9.18,,4.37,3.24,30.8
"25/418  ""ARE SRL""",8.58,8.92,7.91,,6.92,8.89,41.22
"25/419  ""ARE SRL""",9.81,10.33,12.52,,8.83,4.97,46.46
"25/422  ""PIZZEGHELLA E STEVAN SRL""",10.87,8.9,17.79,7.33,8.03,8.46,61.38
"25/423  ""CSM LIFT SRLS""",8.13,5.17,12.68,,9.08,4.28,39.34
"25/424  ""TECNODOOR SAS""",,,,,,8.13,8.13
"25/425  ""JAM SRL""",10.56,3.95,22.75,0.35,19.47,4.08,61.16
"25/426  ""JAM SRL""",4.18,7.41,10.29,,5.11,6.79,33.78
"25/427  ""VIMA ASCENSORI SRL""",8.39,4.88,11.78,,16.46,13.07,54.58
"25/428  ""ARE SRL""",,,,,3.23,,3.23
"25/429  ""ARE SRL""",,,,,15.59,,15.59
"25/430  ""SELE LIFT SRL""",,,,,0.47,,0.47
"25/431  ""SMMA SRL""",0.2,0.35,,,,,0.55
"25/432  ""RIAM ASCENSORI SRL""",9.47,5.21,11.52,,13.85,8.17,48.22
"25/433  ""TK ELEVATOR ITALIA SPA""",10.13,6.56,12.89,4.48,17.59,8.15,59.8
"25/434  ""CEST SRL""",1.17,0.35,1.32,,1.95,,4.79
"25/435  ""ARE SRL""",8.84,3.18,10.94,,6.8,3.32,33.08
"25/436  ""ARE SRL""",11.13,5.05,12.05,,13.8,3.75,45.78
"25/437  ""ARE SRL""",9.26,6.07,10.82,,5.79,4.25,36.19
"25/438  ""ARE SRL""",16.37,7.79,12.39,,9.82,9.33,55.7
"25/439  ""ARE SRL""",9.53,6.56,10.56,0.95,6.54,9.15,43.29
"25/440  ""ARE SRL""",11.56,9.82,12.31,,6.9,2.1,42.69
"25/441  ""ARE SRL""",7.04,12.25,11.22,,12.47,4.35,47.33
"25/442  ""ACS ASCENSORI CONTROLLI SISTEMI SRL""",17.39,7.39,18.48,0.6,84.49,19.76,148.11
"25/443  ""LUX IMPIANTI DI NICOLAS FABBRI""",0.62,0.35,0.4,,0.7,,2.07
"25/444  ""SCHINDLER SPA""",0.05,0.96,,,0.97,1.68,3.66
"25/445  ""SAT SRL""",0.12,,,,,6.18,6.3
"25/446  ""ACS ASCENSORI CONTROLLI SISTEMI SRL""",11.2,5.99,17.54,,17.57,6.43,58.73
"25/447  ""DETTO SRL""",13.27,3.3,16.38,,16.1,14.16,63.21
"25/448  ""DETTO SRL""",9.44,7.43,12.87,,8.95,3.4,42.09
"25/449  ""DFV SRL""",31.9,10.23,14.47,,5.45,73.91,135.96
"25/450  ""AMMAR SRL""",18.52,5.9,17.55,,36.51,4.69,83.17
"25/451  ""BONFANTI ELEVATORI SAS""",20.94,8.49,37.67,,13.56,19.2,99.86
"25/452  ""BULGHERINI PU""",7.87,3.6,9.43,1.39,8.74,4.61,35.64
"25/453  ""FILTERSYSTEM SRL""",0.2,,0.27,,,,0.47
"25/454  ""FEREGOTTO ELEVATORI SRL""",2.04,4.01,9.98,,44.52,5.1,65.65
"25/455  ""SAT SRL""",50.6,16.07,22.66,,2.0,28.85,120.18
"25/456  ""SAT SRL""",0.25,,,,,28.69,28.94
"25/457  ""ARE SRL""",21.03,6.44,28.96,,23.05,10.29,89.77
"25/458  ""ARE SRL""",8.61,6.38,11.21,4.28,6.75,2.47,39.7
"25/459  ""ARE SRL""",7.63,2.07,6.73,1.12,24.97,4.25,46.77
"25/460  ""ARE SRL""",9.5,9.4,6.4,0.5,6.81,4.1,36.71
"25/461  ""ARE SRL""",7.15,6.42,12.79,,8.24,2.9,37.5
"25/462  ""ARE SRL""",5.98,7.81,16.02,,5.92,1.68,37.41
"25/463  ""ALPEMAC SRL""",,0.33,,,2.0,,2.33
"25/464  ""VIMA ASCENSORI SRL""",12.49,2.43,13.47,,10.16,11.45,50.0
"25/465  ""RONCO ASCENSORI SRL""",0.85,0.2,,,8.03,,9.08
"25/466  ""SMAPA PELLEGRINO SNC""",18.09,10.45,21.29,0.3,18.95,9.29,78.37
"25/467  ""SAT SRL""",4.92,2.43,2.25,,2.0,12.48,24.08
"25/468  ""SOITAAB IMPIANTI SRL""",20.95,,12.42,,2.5,22.11,57.98
"25/469  ""DETTO SRL""",0.34,0.87,4.07,,,10.14,15.42
"25/470  ""ARE SRL""",0.3,,,,,,0.3
"25/471  ""ARE SRL""",0.88,,1.23,,,5.65,7.76
"25/472  ""ASCENSORI STASI""",17.93,10.7,14.33,,6.11,7.13,56.2
"25/473  ""SAT SRL""",41.02,1.68,29.24,,2.0,21.12,95.06
"25/474  ""SAT SRL""",,,,,,5.07,5.07
"25/475  ""SIM SRL""",9.74,8.53,9.65,3.01,5.86,2.68,39.47
"25/476  ""SELE LIFT SRL""",12.01,4.64,10.97,,12.48,5.35,45.45
"25/477  ""OMA SNC""",6.71,0.76,9.86,2.33,11.93,3.85,35.44
"25/478  ""ALBERI ASCENSORI SRL""",12.07,3.23,7.16,,31.3,5.8,59.56
"25/479  ""ALICRON SRL""",9.18,2.41,9.62,,13.49,7.42,42.12
"25/480  ""STAR LIFT SRL""",7.25,1.79,14.3,,16.18,4.57,44.09
"25/481  ""ARE SRL""",11.56,5.95,8.34,1.08,15.17,4.56,46.66
"25/482  ""ARE SRL""",10.59,7.27,8.63,,6.79,5.18,38.46
"25/483  ""ARE SRL""",8.19,5.37,11.15,,12.89,2.37,39.97
"25/484  ""ARE SRL""",10.67,4.65,8.84,,14.82,3.87,42.85
"25/485  ""ARE SRL""",11.69,4.49,20.47,,26.08,4.94,67.67
"25/486  ""ARE SRL""",5.39,6.44,7.95,,5.68,4.18,29.64
"25/487  ""ARE SRL""",5.84,5.33,9.15,0.64,10.95,6.23,38.14
"25/488  ""ARE SRL""",9.55,7.07,8.35,,6.06,2.56,33.59
"25/489  ""RONCO ASCENSORI SRL""",12.55,5.99,14.71,0.3,30.24,6.0,69.79
"25/490  ""BULGHERINI PU""",21.91,12.14,18.21,2.0,34.15,20.17,108.58
"25/491  ""BULGHERINI PU""",17.6,10.99,22.32,2.0,14.36,16.85,84.12
"25/492  ""BREMBO ASCENSORI SRL""",20.78,5.71,29.04,0.65,45.96,13.16,115.3
"25/493  ""ALBERI ASCENSORI SRL""",16.14,5.79,13.5,,23.35,6.22,65.0
"25/494  ""SELE LIFT SRL""",11.29,11.24,8.04,,15.86,3.82,50.25
"25/496  ""JAM SRL""",0.88,2.7,11.33,,6.12,2.55,23.58
"25/497  ""ARE SRL""",4.41,6.9,14.19,,6.48,5.38,37.36
"25/498  ""SCHINDLER SPA""",0.87,0.35,1.3,,,,2.52
"25/499  ""BARBIERI ENZO E FIGLIO SRL""",9.13,3.17,11.47,,2.27,2.03,28.07
"25/500  ""BULGHERINI PU""",7.48,3.8,3.39,,5.23,,19.9
"25/501  ""BULGHERINI PU""",1.87,4.33,6.97,2.29,,,15.46
"25/502  ""AMCA ELEVATORI SRL A SOCIO UNICO""",14.87,5.15,18.16,,10.85,7.5,56.53
"25/503  ""PAPILLO ASCENSORI SRL""",7.38,1.56,8.86,3.74,24.9,3.33,49.77
"25/504  ""TRR SOLUTIONS SRL""",7.85,7.42,13.91,,26.85,6.26,62.29
"25/505  ""TRR SOLUTIONS SRL""",14.8,5.09,5.36,,12.62,24.13,62.0
"25/506  ""TRR SOLUTIONS SRL""",13.58,4.91,6.05,,12.67,11.48,48.69
"25/507  ""TRR SOLUTIONS SRL""",15.97,12.82,11.01,,9.25,10.18,59.23
"25/508  ""SAT SRL""",85.84,10.88,42.12,,4.5,51.76,195.1
"25/509  ""GRUPPO OCMA SRL""",4.32,1.15,3.01,,4.75,3.01,16.24
"25/510  ""ARE SRL""",7.86,8.4,11.84,,5.6,6.8,40.5
"25/511  ""ARE SRL""",6.34,5.09,9.72,,13.95,4.03,39.13
"25/512  ""ARE SRL""",8.06,3.4,5.89,,7.32,1.52,26.19
"25/513  ""ARE SRL""",4.09,7.38,7.25,,2.22,1.13,22.07
"25/514  ""ARE SRL""",8.78,5.01,9.34,1.43,42.12,7.92,74.6
"25/515  ""ARE SRL""",7.14,1.0,9.43,,4.16,4.83,26.56
"25/516  ""ARE SRL""",7.58,4.31,11.34,,40.63,1.62,65.48
"25/517  ""ARE SRL""",8.92,4.21,7.73,,15.74,2.98,39.58
"25/518  ""ARE SRL""",10.16,4.71,12.22,,10.43,6.68,44.2
"25/519  ""RIFASA LIFT SRL""",6.7,7.01,9.46,1.62,26.31,7.0,58.1
"25/520  ""MAGRI ASCENSORI SRL""",11.74,10.28,16.48,0.57,84.77,16.3,140.14
"25/521  ""BIME ELEVATORI SRL""",6.62,5.29,6.75,0.22,18.76,2.8,40.44
"25/522  ""VIMA ASCENSORI SRL""",5.12,2.64,11.23,,8.04,2.11,29.14
"25/523  ""KONE SPA""",19.25,15.83,11.56,,12.92,14.25,73.81
"25/525  ""SCHINDLER SPA""",0.52,1.07,3.59,,1.0,0.5,6.68
"25/526  ""SCHINDLER SPA""",0.13,,,,,,0.13
"25/527  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",0.13,,,,,,0.13
"25/528  ""CENTER LIFT SRL""",5.57,4.36,8.7,,4.81,2.76,26.2
"25/529  ""ARE SRL""",9.51,7.5,11.14,,5.98,2.2,36.33
"25/530  ""SCHINDLER SPA""",0.27,2.51,5.52,,1.35,6.87,16.52
"25/531  ""PAN LIFT DOO""",8.88,3.78,16.49,,16.71,6.27,52.13
"25/532  ""ARE SRL""",5.11,3.11,10.45,,4.65,2.67,25.99
"25/533  ""ARE SRL""",12.92,5.93,9.36,,4.85,1.57,34.63
"25/534  ""ARE SRL""",8.55,2.17,10.37,,9.52,3.83,34.44
"25/535  ""ARE SRL""",5.87,3.18,8.6,0.02,20.96,6.03,44.66
"25/536  ""ARE SRL""",9.93,3.87,12.9,4.85,8.05,17.49,57.09
"25/537  ""ELECTRO-LIFT SRL""",8.32,5.6,5.25,0.59,19.88,5.63,45.27
"25/538  ""SAT SRL""",0.23,,,,,0.62,0.85
"25/539  ""SAT SRL""",52.92,7.23,27.61,,6.0,25.47,119.23
"25/540  ""RIFASA LIFT SRL""",10.99,1.63,14.91,,45.91,5.4,78.84
"25/541  ""NEULIFT SPA""",10.57,8.33,17.05,4.25,20.07,15.75,76.02
"25/542  ""RIAM ASCENSORI SRL""",,,3.4,,,,3.4
"25/543  ""SAT SRL""",21.01,9.44,11.96,,,37.64,80.05
"25/545  ""LSR-TECH""",,0.0,,,,,0.0
"25/546  ""SAT SRL""",0.25,,,,,,0.25
"25/547  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",1.1,,0.07,,,,1.17
"25/548  ""SELE LIFT SRL""",9.32,5.31,15.14,0.48,12.6,6.03,48.88
"25/549  ""SELE LIFT SRL""",7.14,9.42,14.3,,18.56,3.64,53.06
"25/550  ""RIAM ASCENSORI SRL""",3.13,9.09,8.15,3.75,14.75,8.6,47.47
"25/551  ""ARE SRL""",6.39,9.33,6.45,0.43,7.63,3.15,33.38
"25/552  ""ARE SRL""",9.27,1.51,11.13,3.17,6.54,1.44,33.06
"25/553  ""ARE SRL""",9.79,4.12,10.4,1.7,23.54,7.29,56.84
"25/554  ""ARE SRL""",16.44,7.01,11.14,4.98,74.24,5.06,118.87
"25/555  ""ARE SRL""",12.55,5.03,12.04,7.19,5.4,7.64,49.85
"25/556  ""ARE SRL""",13.25,2.71,18.26,,4.52,5.85,44.59
"25/557  ""ARE SRL""",6.28,2.22,13.55,,3.36,2.58,27.99
"25/558  ""CENTER LIFT SRL""",0.43,1.47,0.7,,0.6,,3.2
"25/559  ""KONE SPA""",12.88,5.27,24.76,0.02,23.24,8.07,74.24
"25/561  ""MODESTO SRL""",8.61,4.35,10.71,,9.66,13.1,46.43
"25/562  ""RIAM ASCENSORI SRL""",16.02,6.91,27.97,0.65,32.23,12.62,96.4
"25/563  ""BIME ELEVATORI SRL""",13.68,17.79,14.08,3.65,16.08,45.8,111.08
"25/564  ""ARE SRL""",0.89,0.3,0.42,,2.91,,4.52
"25/565  ""PAPILLO ASCENSORI SRL""",10.87,6.21,11.11,,14.4,6.04,48.63
"25/567  ""VALMET TISSUE CONVERTING SPA""",0.17,,,,,,0.17
"25/568  ""PANGEA SRL-GMBH""",13.33,15.86,14.48,0.32,10.95,13.52,68.46
"25/569  ""ARE SRL""",6.3,5.75,7.14,0.02,5.95,2.82,27.98
"25/570  ""ARE SRL""",12.02,4.65,7.52,14.45,12.41,2.67,53.72
"25/571  ""ARE SRL""",6.9,9.92,11.69,0.02,8.35,4.07,40.95
"25/572  ""ARE SRL""",7.3,2.47,7.69,4.17,11.86,3.99,37.48
"25/573  ""ARE SRL""",21.93,1.8,11.26,4.16,22.94,4.46,66.55
"25/574  ""ARE SRL""",7.03,2.7,9.99,0.02,10.67,3.27,33.68
"25/575  ""CENTER LIFT SRL""",7.67,3.8,18.4,,6.2,2.6,38.67
"25/576  ""SELE LIFT SRL""",8.51,3.25,17.96,,34.42,9.72,73.86
"25/577  ""MODESTO SRL""",9.7,2.93,24.5,0.78,21.9,6.92,66.73
"25/580  ""GRIMEL SRL""",0.99,1.6,1.48,,0.65,,4.72
"25/582  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",0.23,,,,,,0.23
"25/583  ""CORAL""",13.69,0.37,4.73,,31.24,19.35,69.38
"25/584  ""CORAL""",,0.3,3.25,,8.53,,12.08
"25/586  ""ZEUS ELECTROSTATIC SYSTEM SRL""",0.07,,,,,,0.07
"25/588  ""LUX IMPIANTI DI NICOLAS FABBRI""",8.85,7.23,23.8,0.43,7.05,5.53,52.89
"25/589  ""PANGEA SRL-GMBH""",6.11,8.17,10.85,,16.41,3.42,44.96
"25/591  ""BULGHERINI MC""",3.92,10.34,7.52,1.92,7.65,7.43,38.78
"25/592  ""ARE SRL""",7.74,10.95,7.71,3.0,5.43,4.41,39.24
"25/593  ""ARE SRL""",9.14,11.41,13.76,2.23,8.85,5.38,50.77
"25/594  ""ARE SRL""",6.22,11.38,6.41,0.78,18.37,3.23,46.39
"25/596  ""ARE SRL""",0.32,0.57,0.34,,1.12,,2.35
"25/599  ""COMPAGNIA SIDERURGICA SPA""",40.78,18.87,15.1,3.65,52.61,33.36,164.37
"25/600  ""COMPAGNIA SIDERURGICA SPA""",40.79,11.43,20.93,0.33,29.97,10.03,113.48
"25/601  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",0.33,2.22,0.3,,0.82,,3.67
"25/602  ""SELE LIFT SRL""",0.47,0.0,,,2.52,,2.99
"25/603  ""VENETA21 SRL""",5.42,3.15,15.68,,13.55,6.68,44.48
"25/604  ""VENETA21 SRL""",12.81,5.39,12.85,,20.62,3.28,54.95
"25/605  ""TK ELEVATOR ITALIA SPA""",12.33,7.11,11.24,1.17,2.02,8.58,42.45
"25/606  ""ARE SRL""",0.15,0.35,1.6,,1.92,,4.02
"25/607  ""MATTHEWS INTERNATIONAL CORPORATION""",0.39,,,,2.0,,2.39
"25/608  ""ARE SRL""",11.02,9.43,4.97,3.67,5.16,7.0,41.25
"25/609  ""ARE SRL""",13.68,6.1,12.38,0.02,53.34,7.2,92.72
"25/610  ""ARE SRL""",23.02,9.79,14.37,6.7,3.8,2.28,59.96
"25/611  ""ARE SRL""",13.37,12.49,12.15,,12.89,6.02,56.92
"25/612  ""ARE SRL""",7.69,4.96,13.94,,16.39,3.78,46.76
"25/613  ""ARE SRL""",6.86,4.86,15.0,,14.3,2.71,43.73
"25/614  ""ARE SRL""",5.49,4.97,13.16,,14.79,3.37,41.78
"25/615  ""BELLETTI SRL""",11.4,5.51,24.77,0.27,22.4,5.65,70.0
"25/616  ""FEREGOTTO ELEVATORI SRL""",12.63,8.1,17.22,,30.85,13.1,81.9
"25/617  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",25.84,1.35,8.69,0.37,7.65,29.9,73.8
"25/618  ""PAPILLO ASCENSORI SRL""",7.8,6.04,11.36,,7.21,10.46,42.87
"25/619  ""SAT SRL""",,,0.35,,,,0.35
"25/622  ""BMP SRL""",7.43,4.44,8.16,,9.85,4.71,34.59
"25/623  ""CORAL""",23.08,4.01,13.33,0.1,58.87,18.07,117.46
"25/624  ""ZENIT HOME SRL""",1.33,,1.0,,,,2.33
"25/625  ""SAT SRL""",0.25,,,,4.25,,4.5
"25/626  ""SAT SRL""",0.25,,,,,,0.25
"25/627  ""RIAM ASCENSORI SRL""",15.12,4.91,14.07,1.4,13.88,7.15,56.53
"25/629  ""MEIC SERVICES SPA""",12.72,3.46,21.24,0.15,2.51,5.8,45.88
"25/630  ""RIAM ASCENSORI SRL""",9.92,4.63,20.2,0.6,61.12,6.43,102.9
"25/632  ""KALEIDOSCOPIO S.C.S.""",0.07,0.6,0.62,,,,1.29
"25/633  ""VALMET TISSUE CONVERTING SPA""",0.1,,,,1.93,,2.03
"25/634  ""RIAM ASCENSORI SRL""",0.15,,,,0.45,,0.6
"25/635  ""RIAM ASCENSORI SRL""",0.33,1.22,0.25,,0.68,,2.48
"25/636  ""ARE SRL""",8.2,4.06,9.98,,5.55,3.13,30.92
"25/637  ""ARE SRL""",14.44,2.17,11.62,,2.18,8.95,39.36
"25/638  ""ARE SRL""",4.24,5.36,8.21,,4.46,6.69,28.96
"25/639  ""ARE SRL""",10.35,3.91,17.4,,14.17,4.87,50.7
"25/640  ""ARE SRL""",4.3,4.14,9.63,,2.83,3.03,23.93
"25/641  ""ARE SRL""",11.23,5.22,8.52,,3.1,5.05,33.12
"25/642  ""ARE SRL""",7.47,5.0,9.14,,0.52,7.22,29.35
"25/643  ""ARE SRL""",7.3,3.82,16.29,,3.35,2.08,32.84
"25/644  ""ARE SRL""",2.5,3.86,5.5,,2.03,1.82,15.71
"25/645  ""ARE SRL""",7.52,6.05,16.17,,1.73,5.83,37.3
"25/646  ""SCHINDLER SPA""",0.67,0.3,0.58,,,,1.55
"25/647  ""AMMAR SRL""",7.81,5.16,22.12,,4.68,2.43,42.2
"25/649  ""AMMAR SRL""",3.35,2.16,9.92,0.67,9.12,5.4,30.62
"25/652  ""AV ASCENSORI SRL""",11.73,3.73,20.86,,57.54,1.46,95.32
"25/653  ""FEREGOTTO ELEVATORI SRL""",2.95,4.39,9.12,,13.54,4.53,34.53
"25/654  ""VIMA ASCENSORI SRL""",0.95,3.1,4.05,,10.77,6.37,25.24
"25/655  ""VIMA ASCENSORI SRL""",1.39,3.32,3.3,,0.88,7.92,16.81
"25/656  ""CENTER LIFT SRL""",8.17,5.54,14.64,,8.88,5.6,42.83
"25/657  ""RIAM ASCENSORI SRL""",0.53,0.3,0.23,,,,1.06
"25/658  ""DETTO SRL""",1.57,0.43,2.1,,1.42,,5.52
"25/659  ""SELE LIFT SRL""",,0.28,1.78,,3.42,,5.48
"25/660  ""MSM SRL""",12.9,7.59,21.55,1.17,26.06,8.09,77.36
"25/661  ""ALPEMAC SRL""",17.46,4.38,9.09,,12.54,13.6,57.07
"25/662  ""ALPEMAC SRL""",32.9,7.12,7.5,0.5,11.76,16.76,76.54
"25/664  ""AMMAR SRL""",4.87,2.02,12.01,0.67,13.68,7.05,40.3
"25/665  ""AMMAR SRL""",5.51,3.33,13.89,0.53,13.12,13.95,50.33
"25/666  ""AMMAR SRL""",4.38,4.68,5.3,0.73,4.09,5.66,24.84
"25/667  ""ALICRON SRL""",0.47,6.84,4.37,,7.83,4.35,23.86
"25/668  ""NEULIFT SPA""",8.02,8.3,12.51,0.58,10.99,8.52,48.92
"25/669  ""NEULIFT SPA""",7.65,6.38,17.28,0.28,41.2,3.97,76.76
"25/670  ""VIMA ASCENSORI SRL""",22.84,9.89,34.43,,66.15,17.31,150.62
"25/671  ""MECA TECHNOLOGY SRL""",2.63,2.22,11.01,0.47,,7.63,23.96
"25/672  ""CENTER LIFT SRL""",8.36,8.0,13.37,0.02,7.33,7.47,44.55
"25/673  ""LIFT 2000 GMBH-SRL""",8.1,3.57,12.44,,28.86,3.4,56.37
"25/674  ""MODESTO SRL""",15.94,7.3,14.13,0.82,52.92,5.93,97.04
"25/675  ""SCHINDLER SPA""",0.05,0.3,0.22,,0.33,,0.9
"25/676  ""ARE SRL""",,,,,0.7,,0.7
"25/677  ""DE MENECH ASCENSORI SNC""",4.76,3.18,11.42,,9.34,4.17,32.87
"25/678  ""SCHINDLER SPA""",0.43,,0.98,,,,1.41
"25/680  ""GRIMEL SPA""",1.62,0.58,0.85,,1.45,3.52,8.02
"25/681  ""GMV SPA""",2.26,0.58,3.98,,,,6.82
"25/682  ""ARE SRL""",6.1,4.72,15.0,,19.63,8.8,54.25
"25/683  ""ARE SRL""",9.6,6.04,15.06,,13.71,9.06,53.47
"25/684  ""ARE SRL""",5.81,6.65,9.39,,11.73,6.7,40.28
"25/686  ""ARE SRL""",5.16,4.62,7.53,,2.43,4.29,24.03
"25/687  ""ARE SRL""",4.94,6.42,11.34,,0.5,3.95,27.15
"25/688  ""ARE SRL""",8.25,7.78,16.02,,,10.25,42.3
"25/689  ""ARE SRL""",5.72,5.98,13.97,,1.92,2.28,29.87
"25/690  ""ARE SRL""",5.11,5.05,7.49,,2.28,11.24,31.17
"25/692  ""RIAM ASCENSORI SRL""",10.48,12.46,10.09,,11.8,3.4,48.23
"25/693  ""BULGHERINI PU""",3.5,5.12,14.13,0.15,4.33,4.1,31.33
"25/694  ""AMMAR SRL""",6.3,4.34,11.29,0.25,24.58,3.99,50.75
"25/696  ""RIAM ASCENSORI SRL""",0.12,,,,,,0.12
"25/697  ""BBF SRL""",7.74,4.61,8.76,1.57,2.05,3.34,28.07
"25/699  ""SAT SRL""",121.36,5.68,35.56,4.26,25.16,39.61,231.63
"25/700  ""SAT SRL""",,,,0.23,,15.33,15.56
